NAMA_BARANG,JML_BARANG
CPOCrude Palm Oil Kontrak No086PSJCCPOVIII2021,93340.0
CPO CRUDE PALM OIL,95000.0
Crude Palm Oil CPO 95000 Kg Kontrak 596CPOSMNIMTXII2021 PO 9100083686,95000.0
PK PALM KERENEL,95000.0
PK PALM KERNEL,95000.0
PK Palm Kernel,95000.0
Palm Kernel PK 95000 Kg Kontrak 255KERNELSMNIMTI2021 PO 9100071911,95000.0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No110PSJCCPOX2021,95000.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 038PMCCPOIII2021,95000.0
CPO,95240.0
PALM KERNEL,95380.0
Ongkos Angkut TBS DIV 2,95470.0
Palm Kernel,97070.0
Ongkos Angkut CPO,97840.0
PALM KERNEL,97960.0
INTI KELAPA SAWIT,98000.0
PALM KERNEL,98000.0
PENJUALAN CPO 028CPOKSPSIPIII2021,98000.0
PENJUALAN CPO 049CPOKSPSIPIV2021,98000.0
Panjar Penjualan CPO 001SRMCPOPKUI2021,98000.0
Panjar Penjualan CPO 022SRMCPOPKUI2021,98000.0
Panjar Penjualan CPO 026SRMCPOPKUII2021,98000.0
Panjar Penjualan CPO 044CPOPNNIIMTV2021,98000.0
Panjar Penjualan CPO 059SRMCPOPKUIII2021,98000.0
Panjar Penjualan CPO 062SRMCPOPKUIII2021,98000.0
Panjar Penjualan CPO 064SRMCPOPKUIII2021,98000.0
Panjar Penjualan CPO 100CPOPNNIIMTXI2021,98000.0
Panjar Penjualan CPO 167SRMCPOPKUVII2021,98000.0
Panjar Penjualan CPO 177SRMCPOPKUVII2021,98000.0
Panjar Penjualan CPO 197SRMCPOPKUVIII2021,98000.0
Panjar Penjualan CPO 201SRMCPOPKUVIII2021,98000.0
Panjar Penjualan CPO 262SRMCPOPKUX2021,98000.0
Panjar Penjualan CPO 265SRMCPOPKUX2021,98000.0
Panjar Penjualan CPO 276SRMCPOPKUX2021,98000.0
Panjar Penjualan CPO 285SRMCPOPKUX2021,98000.0
Panjar Penjualan CPO 320SRMCPOPKUXI2021,98000.0
Uang muka PK PALM KERNEL  98  ,98000.0
Ongkos Angkut CPO,98210.0
Ongkos Angkut CPO,98220.0
Palm Kernel  PK  ,98690.0
TBS Periode 19 Juli 2021,98732.70313
Ongkos Angkut CPO,98950.0
Ongkos Angkut TBS Div 6,99160.0
Ongkos Angkut CPO,99230.0
Ongkos Angkut CPO,99350.0
Penjualan CPO 014SRMCPOPKUI2021,99360.0
Minyak Sawit  CPO  ,99460.0
